epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,1586.44,0.66353,0.4485,1.39714,0.94999,0.86004,0.92149,0.75373,0.70668,0.60471,1.42308,0.00139115,0.00139115,0.00139115
125,1599.37,0.63806,0.4371,1.3766,0.94622,0.85801,0.92814,0.77121,0.65638,0.5325,1.34142,0.0013862,0.0013862,0.0013862
126,1611.96,0.65479,0.45663,1.36314,0.94636,0.8357,0.91201,0.7529,0.66328,0.5824,1.35755,0.00138125,0.00138125,0.00138125
127,1624.86,0.64159,0.44164,1.36113,0.96509,0.84104,0.91924,0.75842,0.66728,0.56817,1.37557,0.0013763,0.0013763,0.0013763
128,1637.1,0.64152,0.43637,1.38263,0.96587,0.84178,0.92536,0.76176,0.66908,0.55449,1.38539,0.00137135,0.00137135,0.00137135
129,1649.67,0.64688,0.45658,1.3608,0.92818,0.85801,0.91998,0.75386,0.67565,0.55506,1.35551,0.0013664,0.0013664,0.0013664
130,1662.52,0.65111,0.44255,1.30737,0.96562,0.85457,0.92117,0.75855,0.67248,0.56355,1.33879,0.00136145,0.00136145,0.00136145
131,1675.55,0.65292,0.43903,1.34966,0.97633,0.85801,0.91918,0.76537,0.66519,0.5938,1.41204,0.0013565,0.0013565,0.0013565
132,1688.44,0.64385,0.43552,1.37459,0.95881,0.84997,0.92858,0.77671,0.64107,0.54376,1.31303,0.00135155,0.00135155,0.00135155
133,1700.71,0.64126,0.43658,1.35153,0.95136,0.87281,0.94122,0.78223,0.66059,0.52238,1.40183,0.0013466,0.0013466,0.0013466
134,1713.5,0.63813,0.43512,1.34776,0.97003,0.8536,0.93389,0.78322,0.64542,0.53182,1.36015,0.00134165,0.00134165,0.00134165
135,1726.17,0.64369,0.43561,1.314,0.92353,0.85745,0.92552,0.77341,0.66572,0.57102,1.34996,0.0013367,0.0013367,0.0013367
136,1739.16,0.64041,0.437,1.35134,0.95441,0.84919,0.91956,0.75612,0.68986,0.5491,1.35518,0.00133175,0.00133175,0.00133175
137,1751.85,0.64562,0.44642,1.38182,0.96966,0.84264,0.92541,0.77053,0.66087,0.54852,1.39246,0.0013268,0.0013268,0.0013268
138,1764.54,0.64746,0.45078,1.37646,0.97003,0.85356,0.91751,0.75606,0.67419,0.55247,1.35698,0.00132185,0.00132185,0.00132185
139,1776.93,0.63292,0.43789,1.36652,0.94056,0.86669,0.92385,0.76632,0.65857,0.54203,1.37508,0.0013169,0.0013169,0.0013169
140,1789.69,0.65283,0.4435,1.4018,0.94144,0.85193,0.92513,0.77318,0.63692,0.52387,1.34191,0.00131195,0.00131195,0.00131195
141,1802.17,0.66438,0.45137,1.38086,0.95888,0.8499,0.92792,0.76236,0.68623,0.53816,1.35143,0.001307,0.001307,0.001307
142,1814.8,0.6346,0.43692,1.32755,0.96809,0.83976,0.92287,0.76782,0.66095,0.51128,1.34036,0.00130205,0.00130205,0.00130205
143,1827.41,0.62955,0.43712,1.33575,0.95538,0.86872,0.92759,0.78137,0.647,0.52376,1.35719,0.0012971,0.0012971,0.0012971
144,1839.81,0.61992,0.43587,1.32569,0.94274,0.87221,0.9266,0.771,0.67075,0.54645,1.35219,0.00129215,0.00129215,0.00129215
145,1852.32,0.62284,0.42833,1.34727,0.96068,0.84257,0.92179,0.75308,0.68659,0.5268,1.39946,0.0012872,0.0012872,0.0012872
146,1864.9,0.65191,0.44605,1.37069,0.95001,0.84801,0.92231,0.77032,0.66352,0.54753,1.385,0.00128225,0.00128225,0.00128225
147,1877.72,0.61912,0.41766,1.36272,0.97454,0.85411,0.93492,0.78993,0.63483,0.53547,1.37938,0.0012773,0.0012773,0.0012773
148,1890.51,0.62975,0.43254,1.32476,0.95016,0.87221,0.9328,0.78009,0.64875,0.52781,1.34875,0.00127235,0.00127235,0.00127235
149,1903.36,0.63917,0.43663,1.35507,0.94101,0.87018,0.92454,0.76441,0.65266,0.5329,1.34878,0.0012674,0.0012674,0.0012674
150,1916.01,0.62774,0.42789,1.33146,0.93319,0.87835,0.92112,0.75591,0.65839,0.53936,1.34088,0.00126245,0.00126245,0.00126245
151,1928.7,0.64236,0.42737,1.35775,0.93247,0.86826,0.92966,0.77188,0.65449,0.53592,1.35259,0.0012575,0.0012575,0.0012575
152,1941.19,0.62171,0.4341,1.34112,0.95884,0.85193,0.93188,0.76899,0.66127,0.50884,1.326,0.00125255,0.00125255,0.00125255
153,1953.99,0.63275,0.43087,1.35074,0.97393,0.8357,0.92241,0.76175,0.68053,0.53946,1.33885,0.0012476,0.0012476,0.0012476
154,1967.2,0.61087,0.42482,1.35085,0.94261,0.86625,0.92503,0.77168,0.65731,0.54513,1.38853,0.00124265,0.00124265,0.00124265
155,1979.76,0.61172,0.42333,1.36563,0.94828,0.85531,0.91727,0.76095,0.66799,0.53031,1.33494,0.0012377,0.0012377,0.0012377
156,1992.22,0.63614,0.43123,1.33975,0.96705,0.85598,0.91993,0.77279,0.65502,0.56019,1.32018,0.00123275,0.00123275,0.00123275
157,2004.81,0.64268,0.43462,1.32517,0.95002,0.84814,0.91996,0.76514,0.6689,0.56601,1.36132,0.0012278,0.0012278,0.0012278
158,2017.68,0.62421,0.41496,1.35147,0.95695,0.85598,0.91942,0.76356,0.68028,0.54423,1.35033,0.00122285,0.00122285,0.00122285
159,2030.25,0.62552,0.4307,1.35262,0.95255,0.8499,0.92044,0.76348,0.67758,0.5758,1.3688,0.0012179,0.0012179,0.0012179
