epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1671.06,1.09039,0.54192,1.07621,0.95382,0.90784,0.94566,0.63496,1.1657,0.50173,1.12734,0.00779725,0.00779725,0.00779725
91,1689.47,1.07926,0.54123,1.07668,0.97575,0.88434,0.94347,0.6387,1.16216,0.49123,1.12312,0.0077725,0.0077725,0.0077725
92,1708.07,1.06478,0.53419,1.06689,0.94198,0.89198,0.93406,0.63724,1.17523,0.49653,1.12332,0.00774775,0.00774775,0.00774775
93,1726.5,1.0748,0.54405,1.06676,0.95669,0.90293,0.94372,0.63646,1.15837,0.48937,1.12872,0.007723,0.007723,0.007723
94,1745.17,1.06751,0.53267,1.07945,0.96805,0.88784,0.94398,0.62776,1.21031,0.52283,1.14944,0.00769825,0.00769825,0.00769825
95,1763.8,1.06257,0.53075,1.06868,0.95552,0.90485,0.954,0.64342,1.15828,0.48259,1.13575,0.0076735,0.0076735,0.0076735
96,1782.23,1.07351,0.5355,1.07191,0.98584,0.89262,0.94729,0.644,1.16319,0.49486,1.13744,0.00764875,0.00764875,0.00764875
97,1800.97,1.06613,0.53034,1.07481,0.97016,0.89308,0.94639,0.64008,1.16526,0.49848,1.13356,0.007624,0.007624,0.007624
98,1819.74,1.05604,0.53442,1.07203,0.95606,0.91661,0.94593,0.63649,1.16869,0.49011,1.1333,0.00759925,0.00759925,0.00759925
99,1838.01,1.07467,0.5284,1.07971,0.9536,0.90842,0.9449,0.64366,1.15508,0.47844,1.12682,0.0075745,0.0075745,0.0075745
100,1856.37,1.06652,0.53235,1.06967,0.9802,0.90652,0.94702,0.63918,1.14244,0.47325,1.1214,0.00754975,0.00754975,0.00754975
101,1875.09,1.05774,0.52628,1.06833,0.96071,0.91575,0.9482,0.64925,1.14259,0.49187,1.11981,0.007525,0.007525,0.007525
102,1893.61,1.07259,0.52752,1.07545,0.96308,0.90776,0.94813,0.65354,1.1358,0.48013,1.10878,0.00750025,0.00750025,0.00750025
103,1912.35,1.04555,0.51824,1.06141,0.96634,0.90476,0.94736,0.63186,1.16873,0.48428,1.1291,0.0074755,0.0074755,0.0074755
104,1931.37,1.0574,0.52369,1.06405,0.97595,0.89193,0.9373,0.62901,1.18718,0.49653,1.13865,0.00745075,0.00745075,0.00745075
105,1949.77,1.05832,0.51207,1.06524,0.97481,0.90842,0.95703,0.64228,1.16219,0.48148,1.12874,0.007426,0.007426,0.007426
106,1968.22,1.04206,0.50878,1.06119,0.97271,0.91209,0.95313,0.6418,1.14341,0.47301,1.12866,0.00740125,0.00740125,0.00740125
107,1986.4,1.03172,0.50292,1.05504,0.96236,0.91209,0.95053,0.64205,1.14685,0.47613,1.12635,0.0073765,0.0073765,0.0073765
108,2004.46,1.04955,0.52151,1.05858,0.97614,0.89919,0.94574,0.63671,1.18169,0.49206,1.14205,0.00735175,0.00735175,0.00735175
109,2022.77,1.05017,0.52004,1.06004,0.97634,0.90689,0.9514,0.64953,1.14511,0.49197,1.11775,0.007327,0.007327,0.007327
110,2040.72,1.03811,0.52001,1.05578,0.97021,0.91575,0.95359,0.64752,1.15888,0.47224,1.12937,0.00730225,0.00730225,0.00730225
111,2059.86,1.03667,0.51385,1.06523,0.98168,0.91026,0.95178,0.64531,1.13988,0.47313,1.11559,0.0072775,0.0072775,0.0072775
112,2078.37,1.04235,0.51747,1.05524,0.96896,0.91485,0.94973,0.64913,1.14822,0.47044,1.12739,0.00725275,0.00725275,0.00725275
113,2096.92,1.04399,0.51246,1.05392,0.9769,0.91392,0.95379,0.64482,1.13784,0.47311,1.12213,0.007228,0.007228,0.007228
114,2115.73,1.02012,0.51168,1.04989,0.96778,0.91941,0.95395,0.6502,1.16108,0.46979,1.12802,0.00720325,0.00720325,0.00720325
115,2134.32,1.04323,0.512,1.05472,0.95352,0.90171,0.957,0.6431,1.15475,0.47421,1.128,0.0071785,0.0071785,0.0071785
116,2152.34,1.02054,0.50479,1.05254,0.97113,0.9242,0.95724,0.65035,1.13272,0.4597,1.1116,0.00715375,0.00715375,0.00715375
117,2170.79,1.03945,0.51778,1.05288,0.96505,0.90842,0.95637,0.64932,1.15131,0.47979,1.12088,0.007129,0.007129,0.007129
118,2189.31,1.01955,0.50319,1.05128,0.9554,0.91575,0.95422,0.6445,1.16015,0.47203,1.13312,0.00710425,0.00710425,0.00710425
